month,popularity
2004-01,10
2004-02,10
2004-03,9
2004-04,9
2004-05,12
2004-06,8
2004-07,7
2004-08,8
2004-09,9
2004-10,46
2004-11,19
2004-12,12
2005-01,11
2005-02,12
2005-03,10
2005-04,10
2005-05,12
2005-06,8
2005-07,7
2005-08,8
2005-09,8
2005-10,14
2005-11,11
2005-12,20
2006-01,23
2006-02,15
2006-03,18
2006-04,15
2006-05,14
2006-06,11
2006-07,9
2006-08,9
2006-09,11
2006-10,12
2006-11,10
2006-12,20
2007-01,16
2007-02,13
2007-03,14
2007-04,14
2007-05,12
2007-06,9
2007-07,10
2007-08,9
2007-09,10
2007-10,14
2007-11,13
2007-12,13
2008-01,11
2008-02,15
2008-03,23
2008-04,16
2008-05,15
2008-06,12
2008-07,10
2008-08,11
2008-09,49
2008-10,100
2008-11,51
2008-12,33
2009-01,25
2009-02,23
2009-03,20
2009-04,18
2009-05,26
2009-06,15
2009-07,11
2009-08,11
2009-09,18
2009-10,22
2009-11,25
2009-12,33
2010-01,19
2010-02,15
2010-03,15
2010-04,19
2010-05,27
2010-06,12
2010-07,10
2010-08,10
2010-09,13
2010-10,19
2010-11,20
2010-12,18
2011-01,22
2011-02,20
2011-03,18
2011-04,14
2011-05,23
2011-06,12
2011-07,10
2011-08,9
2011-09,13
2011-10,17
2011-11,21
2011-12,26
2012-01,19
2012-02,25
2012-03,20
2012-04,20
2012-05,26
2012-06,13
2012-07,11
2012-08,10
2012-09,23
2012-10,28
2012-11,25
2012-12,21
2013-01,17
2013-02,20
2013-03,22
2013-04,15
2013-05,18
2013-06,10
2013-07,10
2013-08,10
2013-09,14
2013-10,23
2013-11,24
2013-12,28
2014-01,20
2014-02,16
2014-03,15
2014-04,15
2014-05,18
2014-06,10
2014-07,9
2014-08,9
2014-09,12
2014-10,18
2014-11,20
2014-12,21
2015-01,16
2015-02,34
2015-03,16
2015-04,12
2015-05,12
2015-06,8
2015-07,8
2015-08,8
2015-09,8
2015-10,19
2015-11,24
2015-12,22
2016-01,18
2016-02,19
2016-03,18
2016-04,15
2016-05,15
2016-06,8
2016-07,8
2016-08,8
2016-09,9
2016-10,48
2016-11,36
2016-12,24
2017-01,24
2017-02,41
2017-03,27
