location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
RUS,CROPYIELD,MAIZE,TONNE_HA,A,1995,2.702954899
RUS,CROPYIELD,MAIZE,TONNE_HA,A,1996,1.777059774
RUS,CROPYIELD,MAIZE,TONNE_HA,A,1997,2.936333699
RUS,CROPYIELD,MAIZE,TONNE_HA,A,1998,1.156812339
RUS,CROPYIELD,MAIZE,TONNE_HA,A,1999,1.594202899
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2000,1.917293233
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2001,1.27560241
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2002,2.605
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2003,3.035765379
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2004,3.815279361
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2005,3.68902439
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2006,3.378273521
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2007,2.495692512
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2008,3.669613394
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2009,3.17083854
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2010,2.189701621
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2011,4.055790428
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2012,3.908525221
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2013,4.746032347
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2014,4.145302816
RUS,CROPYIELD,MAIZE,TONNE_HA,A,2015,4.635009677
CAN,CROPYIELD,MAIZE,TONNE_HA,A,1995,7.25550573
CAN,CROPYIELD,MAIZE,TONNE_HA,A,1996,6.916452678
CAN,CROPYIELD,MAIZE,TONNE_HA,A,1997,6.869964597
CAN,CROPYIELD,MAIZE,TONNE_HA,A,1998,8.005365287
CAN,CROPYIELD,MAIZE,TONNE_HA,A,1999,7.97466922
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2000,6.284410303
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2001,6.618698225
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2002,7.012780549
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2003,7.819345893
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2004,8.240977338
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2005,8.603484835
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2006,8.473748704
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2007,8.510776649
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2008,9.073919345
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2009,8.393625225
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2010,9.750870375
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2011,8.931199874
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2012,9.210875238
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2013,9.587814104
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2014,9.364748084
CAN,CROPYIELD,MAIZE,TONNE_HA,A,2015,10.337
CHN,CROPYIELD,MAIZE,TONNE_HA,A,1995,4.91684229
CHN,CROPYIELD,MAIZE,TONNE_HA,A,1996,5.20332272
CHN,CROPYIELD,MAIZE,TONNE_HA,A,1997,4.387339642
CHN,CROPYIELD,MAIZE,TONNE_HA,A,1998,5.267799834
CHN,CROPYIELD,MAIZE,TONNE_HA,A,1999,4.944641754
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2000,4.597501735
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2001,4.69854213
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2002,4.924494601
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2003,4.81261426
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2004,5.120455885
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2005,5.287654602
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2006,5.326318659
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2007,5.166564896
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2008,5.555752478
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2009,5.2584421
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2010,5.453692062
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2011,5.747450719
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2012,5.869654582
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2013,6.015997357
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2014,5.808959405
CHN,CROPYIELD,MAIZE,TONNE_HA,A,2015,5.846560847
MEX,CROPYIELD,MAIZE,TONNE_HA,A,1995,2.288274189
MEX,CROPYIELD,MAIZE,TONNE_HA,A,1996,2.238904377
MEX,CROPYIELD,MAIZE,TONNE_HA,A,1997,2.384028163
MEX,CROPYIELD,MAIZE,TONNE_HA,A,1998,2.342914018
MEX,CROPYIELD,MAIZE,TONNE_HA,A,1999,2.472028704
