location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.519874328
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.633662962
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.567052532
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.437736738
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.334313883
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.313544374
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.501281643
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.423493886
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.306313473
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.625073297
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.739103215
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.733046716
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.49796111
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.763297095
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.981797481
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.474965697
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.66211512
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.515536479
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.925091527
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.865549483
KOR,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.895320505
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,0.595482546
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,0.581443299
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,0.693069307
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,0.655629139
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,0.760820046
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,0.812351544
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,0.839328537
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,0.888655462
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,0.672945205
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,0.973684211
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,0.959610028
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,0.955029586
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,0.836782497
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,0.998714773
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.078916168
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.01384801
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.428848582
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.21932576
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.266146449
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.266579022
RUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.357760193
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,2.375630339
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,2.526633419
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,2.616511508
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.616908667
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,2.464370952
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,2.561608483
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,2.664274884
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.558726108
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.276363401
USA,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.839123917
