location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1995,1.789874955
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.096300157
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1997,1.841522518
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1998,1.859631796
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.03471543
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2000,1.820885565
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.107631059
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2002,0.907039202
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2003,1.999823985
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2004,1.634782154
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.021297628
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2006,0.917247985
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2007,1.078794432
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2008,1.583139939
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2009,1.572942151
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.030107097
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.151108319
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2012,1.760921489
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.006071795
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2014,1.713658537
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2015,1.738671935
CAN,CROPYIELD,WHEAT,TONNE_HA,A,1995,2.246702689
CAN,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.430287462
CAN,CROPYIELD,WHEAT,TONNE_HA,A,1997,2.128538893
CAN,CROPYIELD,WHEAT,TONNE_HA,A,1998,2.254960345
CAN,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.59709271
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.444586727
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2001,1.945235962
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2002,1.832420642
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2003,2.256458955
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2004,2.640937703
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.738052702
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2006,2.609576732
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2007,2.331727812
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2008,2.857490889
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2009,2.789729204
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.80850038
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.956796258
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2012,2.864579714
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2013,3.594307277
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2014,3.103399
CAN,CROPYIELD,WHEAT,TONNE_HA,A,2015,2.881199
JPN,CROPYIELD,WHEAT,TONNE_HA,A,1995,2.934567085
JPN,CROPYIELD,WHEAT,TONNE_HA,A,1996,3.015772871
JPN,CROPYIELD,WHEAT,TONNE_HA,A,1997,3.638095238
JPN,CROPYIELD,WHEAT,TONNE_HA,A,1998,3.514180025
JPN,CROPYIELD,WHEAT,TONNE_HA,A,1999,3.453791469
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2000,3.759562842
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2001,3.555104114
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2002,4.006766554
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2003,4.033930254
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2004,4.037558685
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2005,4.088785047
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2006,3.839449541
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2007,4.333333333
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2008,4.215311005
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2009,3.236677868
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.759787337
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2011,3.528605201
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2012,4.101338432
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2013,3.862987631
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2014,4.00752587
JPN,CROPYIELD,WHEAT,TONNE_HA,A,2015,4
KOR,CROPYIELD,WHEAT,TONNE_HA,A,1995,4.438581315
KOR,CROPYIELD,WHEAT,TONNE_HA,A,1996,3.91926803
KOR,CROPYIELD,WHEAT,TONNE_HA,A,1997,4.044069641
KOR,CROPYIELD,WHEAT,TONNE_HA,A,1998,3.484693878
KOR,CROPYIELD,WHEAT,TONNE_HA,A,1999,3.669928245
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.54515778
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2001,3.104918033
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2002,3.226769912
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2003,3.051203901
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2004,3.328850211
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2005,3.205845511
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2006,3.3429229
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2007,3.812759336
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2008,4.063946646
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2009,3.70672982
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2010,3.117309531
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2011,3.348436063
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2012,3.909791909
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.585243456
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2014,3.260306407
KOR,CROPYIELD,WHEAT,TONNE_HA,A,2015,3.244217473
MEX,CROPYIELD,WHEAT,TONNE_HA,A,1995,3.731950188
MEX,CROPYIELD,WHEAT,TONNE_HA,A,1996,4.170641227
MEX,CROPYIELD,WHEAT,TONNE_HA,A,1997,4.734662432
MEX,CROPYIELD,WHEAT,TONNE_HA,A,1998,4.207719641
MEX,CROPYIELD,WHEAT,TONNE_HA,A,1999,4.631151311
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2000,4.935531858
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2001,4.766049224
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2002,5.0998916
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2003,4.491411911
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2004,4.478340013
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2005,4.751694104
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2006,5.227409277
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2007,5.082402818
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2008,5.084365655
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2009,4.968762401
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2010,5.418450882
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2011,5.477792025
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2012,5.65675701
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2013,5.293424665
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2014,5.193541355
MEX,CROPYIELD,WHEAT,TONNE_HA,A,2015,4.379227053
TUR,CROPYIELD,WHEAT,TONNE_HA,A,1995,1.916489363
TUR,CROPYIELD,WHEAT,TONNE_HA,A,1996,1.980213881
TUR,CROPYIELD,WHEAT,TONNE_HA,A,1997,1.996788025
TUR,CROPYIELD,WHEAT,TONNE_HA,A,1998,2.234042645
TUR,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.080924749
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.234999895
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.032834291
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2002,2.096774101
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2003,2.087912083
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2004,2.258064508
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.324324369
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2006,2.35689044
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2007,2.128179789
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2008,2.198887587
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2009,2.543209791
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.427989721
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.69268775
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2012,2.669322729
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.83674264
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2014,2.399292946
TUR,CROPYIELD,WHEAT,TONNE_HA,A,2015,2.86649251
USA,CROPYIELD,WHEAT,TONNE_HA,A,1995,2.410248942
USA,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.438847895
USA,CROPYIELD,WHEAT,TONNE_HA,A,1997,2.657416814
USA,CROPYIELD,WHEAT,TONNE_HA,A,1998,2.903461537
USA,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.868834249
USA,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.822049918
USA,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.700340125
USA,CROPYIELD,WHEAT,TONNE_HA,A,2002,2.377313264
USA,CROPYIELD,WHEAT,TONNE_HA,A,2003,2.969978933
USA,CROPYIELD,WHEAT,TONNE_HA,A,2004,2.90259524
USA,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.825656833
USA,CROPYIELD,WHEAT,TONNE_HA,A,2006,2.603858519
USA,CROPYIELD,WHEAT,TONNE_HA,A,2007,2.725682986
USA,CROPYIELD,WHEAT,TONNE_HA,A,2008,3.017283402
USA,CROPYIELD,WHEAT,TONNE_HA,A,2009,2.989276163
USA,CROPYIELD,WHEAT,TONNE_HA,A,2010,3.118174554
USA,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.941722057
USA,CROPYIELD,WHEAT,TONNE_HA,A,2012,3.103513272
USA,CROPYIELD,WHEAT,TONNE_HA,A,2013,3.169601911
USA,CROPYIELD,WHEAT,TONNE_HA,A,2014,2.936476321
USA,CROPYIELD,WHEAT,TONNE_HA,A,2015,2.929958655
ARG,CROPYIELD,WHEAT,TONNE_HA,A,1995,1.92755102
ARG,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.241408451
ARG,CROPYIELD,WHEAT,TONNE_HA,A,1997,2.631578947
ARG,CROPYIELD,WHEAT,TONNE_HA,A,1998,2.431372549
ARG,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.55
ARG,CROPYIELD,WHEAT,TONNE_HA,A,2000,2.490636704
ARG,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.387640449
ARG,CROPYIELD,WHEAT,TONNE_HA,A,2002,2.235526316
ARG,CROPYIELD,WHEAT,TONNE_HA,A,2003,2.03322314
ARG,CROPYIELD,WHEAT,TONNE_HA,A,2004,2.539145597
