model,2011,2012,2013,2014,2015,startingPrice
1/2 Series,7915,6932,6181,6621,10877,32850
3 Series,85882,88857,102784,87451,89265,33150
4 Series,,,,35583,40481,41650
5 Series,46604,48413,48761,47187,41177,50200
6 Series,3180,7171,8684,7757,6685,77300
7 Series,10080,9676,9813,8648,8026,81300
X1,,6141,23771,20217,12651,34800
X3,24261,30011,26916,31029,28798,38950
X5,34540,38723,37865,40933,48747,53900
A3,5926,6808,857,19560,32732,30900
A4,31512,34724,33201,30796,25841,35900
A5,14112,15568,17280,15328,11934,40500
A6,9269,17123,19742,20996,20394,46200
A7,5383,7672,7539,7609,6880,68300
A8,5022,5102,5582,5172,4566,81500
Q3,,,,2753,11728,33700
Q5,22571,25045,35561,37869,45949,40900
Q7,8079,9515,13699,16589,17806,54800
