state,county,name,unemployment
01,000,Alabama,0.061
01,001,"Autauga County, AL",0.052
01,003,"Baldwin County, AL",0.055
01,005,"Barbour County, AL",0.089
01,007,"Bibb County, AL",0.066
01,009,"Blount County, AL",0.054
01,011,"Bullock County, AL",0.078
01,013,"Butler County, AL",0.075
01,015,"Calhoun County, AL",0.07
01,017,"Chambers County, AL",0.06
01,019,"Cherokee County, AL",0.054
01,021,"Chilton County, AL",0.057
01,023,"Choctaw County, AL",0.091
01,025,"Clarke County, AL",0.118
01,027,"Clay County, AL",0.062
01,029,"Cleburne County, AL",0.06
01,031,"Coffee County, AL",0.059
01,033,"Colbert County, AL",0.079
01,035,"Conecuh County, AL",0.092
01,037,"Coosa County, AL",0.067
01,039,"Covington County, AL",0.071
01,041,"Crenshaw County, AL",0.06
01,043,"Cullman County, AL",0.053
01,045,"Dale County, AL",0.064
01,047,"Dallas County, AL",0.096
01,049,"DeKalb County, AL",0.06
01,051,"Elmore County, AL",0.051
01,053,"Escambia County, AL",0.07
01,055,"Etowah County, AL",0.061
01,057,"Fayette County, AL",0.07
01,059,"Franklin County, AL",0.064
01,061,"Geneva County, AL",0.059
01,063,"Greene County, AL",0.11
01,065,"Hale County, AL",0.078
01,067,"Henry County, AL",0.068
01,069,"Houston County, AL",0.062
01,071,"Jackson County, AL",0.066
01,073,"Jefferson County, AL",0.058
01,075,"Lamar County, AL",0.063
01,077,"Lauderdale County, AL",0.069
01,079,"Lawrence County, AL",0.077
01,081,"Lee County, AL",0.051
01,083,"Limestone County, AL",0.055
01,085,"Lowndes County, AL",0.116
01,087,"Macon County, AL",0.081
01,089,"Madison County, AL",0.055
01,091,"Marengo County, AL",0.077
01,093,"Marion County, AL",0.07
01,095,"Marshall County, AL",0.058
01,097,"Mobile County, AL",0.07
01,099,"Monroe County, AL",0.101
01,101,"Montgomery County, AL",0.062
01,103,"Morgan County, AL",0.058
01,105,"Perry County, AL",0.1
01,107,"Pickens County, AL",0.068
